0.01	-1.5	0	0	0
0.01	-1.49	0	0	0
0.01	-1.48	0	0	0
0.01	-1.47	0	0	0
0.01	-1.46	0	0	0
0.01	-1.45	0	0	0
0.01	-1.44	0	0	0
0.01	-1.43	0	0	0
0.01	-1.42	0	0	0
0.01	-1.41	0	0	0
0.01	-1.4	0	0	0
0.01	-1.39	0	0	0
0.01	-1.38	0	0	0
0.01	-1.37	0	0	0
0.01	-1.3599999999999999	0	0	0
0.01	-1.35	0	0	0
0.01	-1.34	0	0	0
0.01	-1.33	0	0	0
0.01	-1.32	0	0	0
0.01	-1.31	0	0	0
0.01	-1.3	0	0	0
0.01	-1.29	0	0	0
0.01	-1.28	0	0	0
0.01	-1.27	0	0	0
0.01	-1.26	0	0	0
0.01	-1.25	0	0	0
0.01	-1.24	0	0	0
0.01	-1.23	0	0	0
0.01	-1.22	0	0	0
0.01	-1.21	0	0	0
0.01	-1.2	0	0	0
0.01	-1.19	0	0	0
0.01	-1.18	0	0	0
0.01	-1.17	0	0	0
0.01	-1.16	0	0	0
0.01	-1.15	0	0	0
0.01	-1.1400000000000001	0	0	0
0.01	-1.13	0	0	0
0.01	-1.12	0	0	0
0.01	-1.1099999999999999	0	0	0
0.01	-1.1	0	0	0
0.01	-1.0899999999999999	0	0	0
0.01	-1.08	0	0	0
0.01	-1.07	0	0	0
0.01	-1.06	0	0	0
0.01	-1.05	0	0	0
0.01	-1.04	0	0	0
0.01	-1.03	0	0	0
0.01	-1.02	0	0	0
0.01	-1.01	0	0	0
0.01	-1.	0	0	0
0.01	-0.99	0	0	0
0.01	-0.98	0	0	0
0.01	-0.97	0	0	0
0.01	-0.96	0	0	0
0.01	-0.95	0	0	0
0.01	-0.94	0	0	0
0.01	-0.9299999999999999	0	0	0
0.01	-0.92	0	0	0
0.01	-0.91	0	0	0
0.01	-0.9	0	0	0
0.01	-0.89	0	0	0
0.01	-0.88	0	0	0
0.01	-0.87	0	0	0
0.01	-0.86	0	0	0
0.01	-0.85	0	0	0
0.01	-0.84	0	0	0
0.01	-0.83	0	0	0
0.01	-0.82	0	0	0
0.01	-0.8099999999999999	0	0	0
0.01	-0.7999999999999999	0	0	0
0.01	-0.79	0	0	0
0.01	-0.78	0	0	0
0.01	-0.77	0	0	0
0.01	-0.76	0	0	0
0.01	-0.75	0	0	0
0.01	-0.74	0	0	0
0.01	-0.73	0	0	0
0.01	-0.72	0	0	0
0.01	-0.71	0	0	0
0.01	-0.7	0	0	0
0.01	-0.69	0	0	0
0.01	-0.6799999999999999	0	0	0
0.01	-0.6699999999999999	0	0	0
0.01	-0.66	0	0	0
0.01	-0.65	0	0	0
0.01	-0.64	0	0	0
0.01	-0.63	0	0	0
0.01	-0.62	0	0	0
0.01	-0.61	0	0	0
0.01	-0.6	0	0	0
0.01	-0.59	0	0	0
0.01	-0.58	0	0	0
0.01	-0.57	0	0	0
0.01	-0.5599999999999999	0	0	0
0.01	-0.5499999999999999	0	0	0
0.01	-0.54	0	0	0
0.01	-0.53	0	0	0
0.01	-0.52	0	0	0
0.01	-0.51	0	0	0
0.01	-0.5	0	0	0
0.01	-0.49	0	0	0
0.01	-0.48	0	0	0
0.01	-0.47	0	0	0
0.01	-0.45999999999999996	0	0	0
0.01	-0.44999999999999996	0	0	0
0.01	-0.43999999999999995	0	0	0
0.01	-0.42999999999999994	0	0	0
0.01	-0.41999999999999993	0	0	0
0.01	-0.4099999999999999	0	0	0
0.01	-0.3999999999999999	0	0	0
